Mode,Classifier,FS,Balancing,Repetition,Seed,Folds,OOFPredictions,ClassifierOptions,Precision,Recall,AUC,Kappa,NPofB20
"FULL","RandomForest","No","No",6,6,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8661909010,0.7811745776,0.9828840429,0.8058222567,0.8640386163
"FULL","NaiveBayes","No","No",6,6,10,14611,"",0.2730422730,0.3169750603,0.7672149254,0.2222840257,0.1930812550
"FULL","IBk","No","No",6,6,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7325483600,0.7007240547,0.8429762324,0.6905408658,0.7055510861
"FULL","RandomForest","Yes","No",6,6,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8337777778,0.7546259051,0.9735992233,0.7739579320,0.8487530169
"FULL","NaiveBayes","Yes","No",6,6,10,14611,"",0.2835526316,0.3467417538,0.7555122570,0.2409294100,0.2220434433
"FULL","IBk","Yes","No",6,6,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7590837283,0.7731295253,0.9516022521,0.7440699483,0.8117457763
"FULL","RandomForest","No","Yes",6,6,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8321342926,0.8374899437,0.9835757682,0.8193891553,0.8559935640
"FULL","NaiveBayes","No","Yes",6,6,10,14611,"",0.2687576876,0.3515687852,0.7685502007,0.2304259004,0.2188254224
"FULL","IBk","No","Yes",6,6,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6419672131,0.7876106195,0.8770862491,0.6771014309,0.7715205149
"FULL","RandomForest","Yes","Yes",6,6,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7560060060,0.8101367659,0.9732707531,0.7611104730,0.8382944489
"FULL","NaiveBayes","Yes","Yes",6,6,10,14611,"",0.2529202641,0.4006436042,0.7575153956,0.2297486526,0.2453740949
"FULL","IBk","Yes","Yes",6,6,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6671061305,0.8141592920,0.9541085073,0.7058222631,0.8189863234
"FULL","RandomForest","No","No",7,7,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8665496049,0.7940466613,0.9819037779,0.8135457168,0.8648431215
"FULL","NaiveBayes","No","No",7,7,10,14611,"",0.2738012509,0.3169750603,0.7676592749,0.2228660294,0.1938857603
"FULL","IBk","No","No",7,7,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7323358271,0.7087691070,0.8429102134,0.6948219620,0.7079646018
