Mode,Repetition,Seed,Fold,InputPredictors,SelectedPredictors,SelectedFeatures,TrainYesBefore,TrainNoBefore,TrainYesAfterSmote,TrainNoAfterSmote,TestYes,TestNo,SmotePercentage
"FULL",3,3,5,24,13,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",3,3,6,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",3,3,7,24,8,"LOC|NFIX|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",3,3,8,24,13,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",3,3,9,24,13,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ND|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",3,3,10,24,9,"LOC|NFIX|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",4,4,1,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",4,4,2,24,10,"LOC|NFIX|NAUTH|MAX_LOC_ADDED|MAX_CHURN|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",4,4,3,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",4,4,4,24,9,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
