ReleaseIndex,Version,CommitId,FilePath,RuleSet,Rule,Priority,Line,Description
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/topology/TopologyBuilder.java,Design,TooManyMethods,3,247,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/TransactionalSpoutCoordinator.java,Design,TooManyMethods,3,21,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java,Design,CognitiveComplexity,3,113,"The method 'buildTopologyBuilder()' has a cognitive complexity of 15, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java,Design,CyclomaticComplexity,3,113,The method 'buildTopologyBuilder()' has a cyclomatic complexity of 10.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java,Design,NPathComplexity,3,113,"The method 'buildTopologyBuilder()' has an NPath complexity of 260, current threshold is 200"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java,Design,DataClass,3,177,"The class 'Component' is suspected to be a Data Class (WOC=0.000%, NOPA=5, NOAM=0, WMC=1)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/TransactionalTopologyBuilder.java,Design,TooManyMethods,3,204,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java,Design,CognitiveComplexity,3,53,"The method 'getState(BigInteger, StateInitializer)' has a cognitive complexity of 23, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java,Design,CyclomaticComplexity,3,53,"The method 'getState(BigInteger, StateInitializer)' has a cyclomatic complexity of 14."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java,Design,AvoidDeeplyNestedIfStmts,3,62,Deeply nested if..then statements are hard to read
