IssueKey,ReleaseIndex,Version,CommitId,FilePath,MappingStrategy,EffectiveIV,FV,IVSource,FVSource,BlamedFilePath,FixedFilePath
STORM-297,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java,storm-core/src/jvm/backtype/storm/messaging/netty/Context.java
STORM-297,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java
STORM-297,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientErrorHandler.java
STORM-297,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java
STORM-297,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java,storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java
STORM-297,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/utils/Utils.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/utils/Utils.java,storm-core/src/jvm/backtype/storm/utils/Utils.java
STORM-307,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/utils/LocalState.java,EXACT_BLAMED_PATH,2,4,JIRA_AFFECTED_VERSION,GIT_CONTAINMENT,storm-core/src/jvm/backtype/storm/utils/LocalState.java,storm-core/src/jvm/backtype/storm/utils/LocalState.java
STORM-328,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,4,JIRA_AFFECTED_VERSION,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
STORM-328,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/utils/Utils.java,EXACT_BLAMED_PATH,1,4,JIRA_AFFECTED_VERSION,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/utils/Utils.java,storm-core/src/jvm/backtype/storm/utils/Utils.java
STORM-342,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,EXACT_BLAMED_PATH,1,3,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java
STORM-346,2,0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,storm-core/src/jvm/backtype/storm/Config.java,EXACT_BLAMED_PATH,1,7,PROPORTION_TOTAL,JIRA_FIX_VERSION,storm-core/src/jvm/backtype/storm/Config.java,storm-core/src/jvm/backtype/storm/Config.java
